"ID","US_ENG","US_FRA","US_SPA","EU_ENG","EU_FRA","EU_ITA","EU_GER","EU_SPA","EU_NED"
"MS241","Take down ten Foot Ninja using Karai.","Bats dix ninjas Foot avec Karai.","Usa a Karai para acabar con diez
Foot Ninjas.","Take down ten Foot Ninja using Karai.","Bats dix ninjas Foot avec Karai.","Sconfiggi 10 Foot Ninja usando Karai.","Erledige zehn Foot Ninjas mit Karai.","Usa a Karai para acabar con diez
Foot Ninjas.",""
"MS250","24 : The Prize","24 : Récompense","24: ¡El premio!","24 : The Prize","24: Récompense","24: Il premio!","24: Der Preis!","24: ¡El premio!",""
"MS251","Defeat Splinter, Leonardo, Casey, and
April.","Bats Splinter, Leonardo, 
Casey et April.","Derrota a Astilla, Leonardo, Casey y 
Abril.","Defeat Splinter, Leonardo, Casey, and
April.","Bats Splinter, Leonardo, 
Casey et April.","Sconfiggi i tuoi avversari.","Schalte Splinter, Leonardo, Casey und
April aus.","Derrota a Astilla, Leonardo, Casey y 
Abril.",""
"MS260","25 : Class is in Session","25 : De main de maître","25: Clase magistral","25 : Class is in Session","25: De main de maître","25: Lezione in corso!","25: Klassenunterricht","25: Clase magistral",""
"MS261","Tutor the Turtles in the ways of battle!","Apprends aux tortues à se battre.","Enseña a las tortugas a luchar.","Tutor the Turtles in the ways of battle!","Apprends aux tortues à se battre.","Insegna alle tartarughe come 
combattere!","Lehre die Turtles die Pfade des 
Kampfes!","Enseña a las tortugas a luchar.",""
"MS270","26 : Subordinate's Duty","26 : Leader en péril","26: Deber subordinado","26 : Subordinate's Duty","26: Leader en péril","26: Seguaci fedeli","26: Lakaiendienst","26: Deber subordinado",""
"MS271","Using the Foot Ninja, protect Karai from 
Raphael. ","Prends le contrôle d'un ninja Foot 
et protège Karai contre Raphael.","Usa al Foot Ninja para proteger a Karai 
de Raphael.","Using the Foot Ninja, protect Karai from 
Raphael. ","Prends le contrôle d'un ninja Foot 
et protège Karai contre Raphael.","Proteggi Karai da Raphael usando 
Foot Ninja. ","Nutze den Foot-Clan, um Karai vor 
Raphael zu schützen.","Usa al Foot Ninja para proteger a Karai 
de Raphael.",""
"MS280","27 : The Beauties of Battle","27 : Beautés au combat","27: Bellezas del combate","27 : The Beauties of Battle","27 : Beautés au combat","27: Lotta fra belle","27: Die Schönheit des Kampfes","27: Bellezas del combate",""
"MS281","Defeat your Opponent.","Élimine les ennemis.","Vence a la rival.","Defeat your Opponent.","Élimine les ennemis.","Sconfiggi l'avversaria.","Besiege deinen Gegner.","Vence a la rival.",""
"MS290","28 : A Guy's Fight","28 : Combattant","28: Pelea de hombres","28 : A Guy's Fight","28: Combattant","28: Botte da maschi","28: Ein echter Kampf","28: Pelea de hombres",""
"MS291","Defeat your Opponent.","Élimine les ennemis.","Vence al rival.","Defeat your Opponent.","Élimine les ennemis.","Sconfiggi l'avversario.","Besiege deinen Gegner.","Vence al rival.",""
"MS300","29 : Sewer Stories","29 : Maître des égouts","29: Cuentos de cloaca","29 : Sewer Stories","29: Maître des égouts","29: Storie dalle fogne","29: Kanalgeschichten","29: Cuentos de cloaca",""
"MS301","Feed Utrominator to the Alligator.","Envoie Utrominator prendre un bain
avec l'alligator.","Alimenta al cocodrilo con Utrominator.","Feed Utrominator to the Alligator.","Envoie Utrominator prendre un bain
avec l'alligator.","Dai in pasto Utrominator all'alligatore.","Verfüttere Utrominator an den 
Alligator.","Alimenta al cocodrilo con Utrominator.",""
"MS310","30 : Father Figure","30 : Tel père...","30: Figura paterna","30 : Father Figure","30: Tel père...","30: Figura paterna","30: Vaterfigur","30: Figura paterna",""
"MS311","Defeat Shredder.","Élimine Shredder.","Vence a Despedazador.","Defeat Shredder.","Élimine Shredder.","Sconfiggi Shredder.","Besiege Shredder.","Vence a Despedazador.",""
"MS320","31 : A Gentleman's Agreement","31 : Pacte d'honneur","31: Acuerdo de caballeros","31 : A Gentleman's Agreement","31: Pacte d'honneur","31: Patto fra gentiluomini","31: Ein Mann, ein Wort!","31: Acuerdo de caballeros",""
"MS321","Defeat Casey and Utrominator.","Bats Casey et Utrominator.","Vence a Casey y Utrominator.","Defeat Casey and Utrominator.","Bats Casey et Utrominator.","Sconfiggi Casey e Utrominator.","Besiege Casey und Utrominator.","Vence a Casey y Utrominator.",""
"MS330","32 : Unlikely Teammates","32 : Trêve momentanée","32: Insólitos compañeros","32 : Unlikely Teammates","32: Trêve momentanée","32: Compagni improbabili","32: Ungleiche Kameraden","32: Insólitos compañeros",""
"MS331","Team up with Karai to 
defeat Splinter and Shredder.","Rejoins Karai pour battre
Splinter et Shredder.","Únete a Karai para derrotar a Astilla
y a Despedazador.","Team up with Karai to 
defeat Splinter and Shredder.","Rejoins Karai pour battre
Splinter et Shredder.","Alleati con Karai per
sconfiggere Splinter e Shredder.","Bilde mit Karai ein Team und besiege 
Splinter und Shredder.","Únete a Karai para derrotar a Astilla
y a Despedazador.",""
"MS340","33 : Mutiny","33 : Mutinerie !","33: Motín","33 : Mutiny","33: Mutinerie !","33: Ammutinamento","33: Meuterei","33: Motín",""
"MS341","Take down ten Foot Ninja using 
Shredder.","Supprime dix ninjas Foot en utilisant
Shredder.","Acaba con diez Foot Ninjas mediante
Despedazador.","Take down ten Foot Ninja using 
Shredder.","Supprime dix ninjas Foot en utilisant
Shredder.","Sconfiggi 10 Foot Ninja usando 
Shredder.","Besiege zehn Foot Ninjas mithilfe von 
Shredder.","Acaba con diez Foot Ninjas mediante
Despedazador.",""
"MS350","34 : Stay Dry","34 : Reste au sec !","34: Mantente seco","34 : Stay Dry","34: Reste au sec !","34: Resta all'asciutto","34: Trocken bleiben","34: Mantente seco",""
"MS351","Touching the water will cause you to 
take damage. Avoid the water and 
defeat your enemies.","L'eau t'inflige des dégâts. 
Élimine tes ennemis sans la toucher.","Si tocas el agua, sufrirás daño. Evita el 
agua y vence al enemigo.","Touching the water will cause you to 
take damage. Avoid the water and 
defeat your enemies.","L'eau t'inflige des dégâts. 
Élimine tes ennemis sans la toucher.","Toccando l'acqua subirai dei danni. 
Sconfiggi i tuoi nemici evitando l'acqua!","Wenn du das Wasser berührst, nimmst 
du Schaden. Meide das Wasser und 
besiege deine Gegner.","Si tocas el agua, sufrirás daño. Evita el 
agua y vence al enemigo.",""
"MS360","35 : Everything In Reverse","35 : Monde à l'envers","35: El mundo al revés","35 : Everything In Reverse","35: Monde à l'envers","35: Tutto al contrario","35: Verkehrte Welt","35: El mundo al revés",""
"MS361","Defeat the enemy with the upper and 
lower, right and left input reversed.","Les commandes haut, bas, gauche et
droite ont été inversées. Élimine
l'ennemi dans ces conditions !","Vence al enemigo con arriba, abajo, 
izquierda y derecha invertidos.","Defeat the enemy with the upper and 
lower, right and left input reversed.","Les commandes haut, bas, gauche et
droite ont été inversées. Élimine
l'ennemi dans ces conditions !","Sconfiggi i nemici con le quattro
direzioni invertite.","Besiege den Gegner mit oben, unten, 
links und rechts vertauscht.","Vence al enemigo con arriba, abajo, 
izquierda y derecha invertidos.",""
"MS370","36 : Big City Lights","36 : Néon fatal","36: Luces de ciudad","36 : Big City Lights","36: Néon fatal","36: Le luci della città","36: Lichter der Großstadt","36: Luces de ciudad",""
"MS371","Finish off your enemy by knocking him
into the neon sign.","Achève ton ennemi en l'envoyant
valser sur l'enseigne.","Lanza al enemigo contra las luces
de neón para acabar con él.","Finish off your enemy by knocking him
into the neon sign.","Achève ton ennemi en l'envoyant
valser sur l'enseigne.","Finisci il nemico sbattendolo contro 
l'insegna al neon.","Erledige den Gegner, indem du ihn in die 
Leuchtreklame schickst.","Lanza al enemigo contra las luces
de neón para acabar con él.",""
"MS380","37 : Deadly Wasps","37 : Guêpes tueuses","37: Avispas mortales","37 : Deadly Wasps","37: Guêpes tueuses","37: Punture mortali","37: Tödliche Wespen","37: Avispas mortales",""
"MS381","Disturb the hives and use the wasps 
to finish off your opponents!","Utilise les ruches et les abeilles pour 
venir à bout de tes adversaires.","Alborota las colmenas y usa las avispas
para acabar con tus rivales.","Disturb the hives and use the wasps 
to finish off your opponents!","Utilise les ruches et les abeilles pour 
venir à bout de tes adversaires.","Disturba gli alveari e usa le vespe
per finire i tuoi avversari.","Störe den Schwarm und bediene
dich der Wespen, um deine Gegner zu
besiegen!","Alborota las colmenas y usa las avispas
para acabar con tus rivales.",""
"MS390","38 : Stay Away from the Light!","38 : Attention au laser !","38: ¡Aléjate de la luz!","38 : Stay Away from the Light!","38: Attention au laser !","38: Via dalla luce!","38: Meide das Licht!","38: ¡Aléjate de la luz!",""
"MS391","Finish off all of your enemies using the 
laser.","Élimine tous les ennemis avec le laser.","Usa el láser para acabar con el enemigo.","Finish off all of your enemies using the 
laser.","Élimine tous les ennemis avec le laser.","Sconfiggi tutti i nemici usando il laser.","Besiege alle Gegner mit dem Laser.","Usa el láser para acabar con el enemigo.",""
"MS400","39 : Seek and Destroy","39 : Le démolisseur","39: Busca y destruye","39 : Seek and Destroy","39: Le démolisseur","39: Trova e distruggi!","39: Suche und zerstöre","39: Busca y destruye",""
"MS401","Shred all of the crates! ","Détruis toutes les caisses.","Destruye todas las cajas.","Shred all of the crates! ","Détruis toutes les caisses.","Distruggi tutte le casse!","Zerfetze alle Kisten!","Destruye todas las cajas.",""
"MS410","41 : Protect the Tank","41 : Pas de casse !","41: Protege el tanque","41 : Protect the Tank","41: Pas de casse !","41: Proteggi il serbatoio","41: Schütze den Tank","41: Protege el tanque",""
"MS411","Defeat your enemies before they 
destroy the water tank!","Achève tous tes adversaires avant 
que la citerne ne soit détruite.","Derrota a los enemigos antes de que
destruyan el tanque de agua.","Defeat your enemies before they 
destroy the water tank!","Achève tous tes adversaires avant 
que la citerne ne soit détruite.","Sconfiggi i nemici prima che 
distruggano il serbatoio d'acqua.","Besiege deine Gegner, bevor sie den 
Wassertank zerstören!","Derrota a los enemigos antes de que
destruyan el tanque de agua.",""
"MS420","2 : Raging Stampede","2 : Sauve qui peut !","2: Estampida","2 : Raging Stampede","2: Sauve qui peut !","2: Ritirata","2: Wilde Horde","2: Estampida",""
"MS421","Finish off Karai with the stampede.  
Use Point to shoot the buffalo 
target to start the rampage!  ","Achève Karai avec le troupeau.
Tire sur la cible taureau pour 
commencer le carnage.","Remata a Karai con la estampida.
Señala para disparar al búfalo e
iniciar el alboroto.
","Finish off Karai with the stampede.  
Use Point to shoot the buffalo 
target to start the rampage!  ","Achève Karai avec le troupeau.
Tire sur la cible taureau pour 
commencer le carnage.","Fai travolgere Karai.
Punta e spara all'immagine del bufalo.
","Erledige Karai mit der Büffelherde. Benu-
tze den Cursor,um den Büffel zu treffen 
und das wilde Getrampel auszulösen.","Remata a Karai con la estampida.
Señala para disparar al búfalo e
iniciar el alboroto.
",""
"MS430","43 : Stowaways","43 : Clandestins","43: Polizones","43 : Stowaways","43: Clandestins","43: Clandestini","43: Blinde Passagiere","43: Polizones",""
"MS431","Defeat all of your enemies by knocking 
them into the ocean.","Élimine tous les ennemis en les faisant
tomber à l'eau.","Lanza a todos tus enemigos al agua 
para vencerlos.","Defeat all of your enemies by knocking 
them into the ocean.","Élimine tous les ennemis en les faisant
tomber à l'eau.","Sconfiggi tutti i nemici buttandoli
fuori bordo.","Besiege deine Gegner, indem du sie ins 
Meer wirfst.","Lanza a todos tus enemigos al agua 
para vencerlos.",""
"MS440","44 : Timber!","44 : Touche du bois !","44: ¡Tronco va!","44 : Timber!","44: Touche du bois !","44: Taglialegna!","44: Baum fällt!","44: ¡Tronco va!",""
"MS441","Be the first to smash the log!","Détruis le tronc en premier.","Sé el primero en romper el tronco.","Be the first to smash the log!","Détruis le tronc en premier.","Taglia il tronco per primo!","Zerschmettere als Erster den
Baumstamm!","Sé el primero en romper el tronco.",""
"MS450","45 : Take Five","45 : 5 contre 5","45: A por cinco","45 : Take Five","45: 5 contre 5","45: 5 su 5","45: Nimm fünf","45: A por cinco",""
"MS451","Survive five battles!","Survis à cinq combats.","Sobrevive a cinco batallas.","Survive five battles!","Survis à cinq combats.","Sopravvivi a cinque battaglie!","Überstehe fünf Kämpfe!","Sobrevive a cinco batallas.",""
"MS460","46 : Robot Freak Out!","46 : Robot dingo","46: Alucine de robot","46 : Robot Freak Out!","46: Robot dingo","46: Corto circuito!","46: Roboterwahn!","46: Alucine de robot",""
"MS461","Take down Utrominator.","Élimine Utrominator.","Acaba con Utrominator.","Take down Utrominator.","Élimine Utrominator.","Sconfiggi Utrominator.","Schalte den Utrominator aus.","Acaba con Utrominator.",""
"MS470","47 : Pupil's Revenge","47 : La revanche ","47: Venganza de pupilo","47 : Pupil's Revenge","47: La revanche ","47: La vendetta dell'allievo","47: Schülers Rache!","47: Venganza de pupilo",""
"MS471","Take down Splinter.","Bats Splinter !","Acaba con Astilla.","Take down Splinter.","Bats Splinter !","Sconfiggi Splinter.","Schalte Splinter aus.","Acaba con Astilla.",""
"MS480","48 : Ninja Master","48 : Maître ninja","48: Maestro ninja","48 : Ninja Master","48: Maître ninja","48: Maestro ninja","48: Ninja-Meister","48: Maestro ninja",""
"MS481","Take down all seven opponents.","Élimine les sept ennemis.","Acaba con los siete enemigos.","Take down all seven opponents.","Élimine les sept ennemis.","Sconfiggi tutti i sette avversari.","Schalte alle sieben Gegner aus.","Acaba con los siete enemigos.",""
"MS490","49 : Survival of the Fittest","49 : Loi du plus fort","49: La ley del más fuerte","49 : Survival of the Fittest","49: Loi du plus fort","49: Vinca il migliore","49: Natürliche Auslese!","49: La ley del más fuerte",""
"MS491","Fight to the finish!  
Can you survive the onslaught?","Bats-toi jusqu'au bout.
Peux-tu survivre au massacre ?","Lucha hasta el final. 
¿Podrás sobrevivir a la carnicería?","Fight to the finish!  
Can you survive the onslaught?","Bats-toi jusqu'au bout.
Peux-tu survivre au massacre ?","Combatti fino alla fine! 
Sopravviverai?","Kämpfe bis zum Schluss!
Kannst du den Ansturm überstehen?","Lucha hasta el final. 
¿Podrás sobrevivir a la carnicería?",""
"MS500","50 : Leadership Test","50 : Épreuve de force","50: Prueba de liderazgo","50 : Leadership Test","50: Épreuve de force","50: Prova di forza","50: Führungstest","50: Prueba de liderazgo",""
"MS501","Take down Splinter, Karai, and Shredder.","Bats Splinter, Karai et Shredder.","Acaba con Astilla, Karai y 
Despedazador.","Take down Splinter, Karai, and Shredder.","Bats Splinter, Karai et Shredder.","Sconfiggi Splinter, Karai e Shredder.","Erledige Splinter, Karai und Shredder.","Acaba con Astilla, Karai y 
Despedazador.",""
"MS510","51 : Back for More","51 : Combat décisif","51: A por más","51 : Back for More","51: Un peu de rab","51: Ne volete ancora?","51: Noch nicht genug","51: A por más",""
"MS511","Take down Shredder, Nightwatcher
and Leonardo.","Bats Shredder, Nightwatcher et
Leonardo.","Acaba con Despedazador, Nightwatcher
y Leonardo.","Take down Shredder, Nightwatcher
and Leonardo.","Bats Shredder, Nightwatcher et
Leonardo.","Sconfiggi Shredder, Nightwatcher e 
Leonardo.","Schick Shredder, Nightwatcher und 
Leonardo auf die Bretter.","Acaba con Despedazador, Nightwatcher
y Leonardo.",""
"TN000","TOURNAMENT","TOURNOI","MODO TORNEO","TOURNAMENT","TOURNOI","MODALITÁ TORNEO","TURNIERMODUS","MODO TORNEO",""
"TN001","TROPHY TOURNAMENT","TOURNOI DES TROPHÉES","TORNEO TROFEO","TROPHY TOURNAMENT","TOURNOI DES TROPHÉES","TORNEO A PREMI","TROPHÄENTURNIER","TORNEO TROFEO",""
"TN010","Select players and Tournament settings.","Sélectionne les participants.","Elige ajustes del torneo y de los 
jugadores.","Select players and Tournament settings.","Sélectionne les participants.","Seleziona chi parteciperà 
al torneo.","Wähle die Spieler und die
Turniereinstellungen.","Elige ajustes del torneo y de los 
jugadores.",""
"TN015","Winner","Champion","Ganador","Winner","Champion","Vincitore","Sieger","Ganador",""
"TN020","Shuffle","Hasard","Aleatorio","Shuffle","Hasard","Casuale","Zufall","Aleatorio",""
"TN021","Matches chosen at random. ","Les combats du tournoi sont choisis
au hasard.","Las peleas se eligen al azar.","Matches chosen at random. ","Les combats du tournoi sont choisis
au hasard.","Scelta incontri casuale.","Die Kämpfe werden zufällig ausgewählt.","Las peleas se eligen al azar.",""
"TN030","OK","OK","OK","OK","OK","OK","OK","OK",""
"TN031","Settings finalized.  
Time to begin the Tournament.","Valide les paramètres et commence
le tournoi.","Ajustes terminados. Es hora de 
empezar el torneo.","Settings finalized.  
Time to begin the Tournament.","Valide les paramètres et commence
le tournoi.","Impostazioni ultimate. Il torneo ha
inizio.","Einstellungen abgeschlossen. 
Das Turnier kann beginnen.","Ajustes terminados. Es hora de 
empezar el torneo.",""
"TN040","Are you sure you want to offer 
this trophy up to the winner of 
the tournament?","Le tournoi va commencer.
Continuer ?","El torneo ha comenzado. ¿Listo?","Are you sure you want to offer 
this trophy up to the winner of 
the tournament?","Le tournoi va commencer.
Continuer ?","Il torneo sta per iniziare. Sei pronto?","Das Turnier beginnt. Bist du bereit?","El torneo ha comenzado. ¿Listo?",""
"TN050","Tournament Start!","Début du tournoi !","Comienza el torneo","Tournament Start!","Début du tournoi !","Inizio torneo!","Turnierbeginn!","Comienza el torneo",""
"TN060","Wins!","a gagné !","gana","Wins!","a gagné !","ha vinto!","siegt!","gana",""
"TN070","Next Battle","Combat suivant","Próximo combate","Next Battle","Combat suivant","Incontro seguente","Nächster Kampf","Próximo combate",""
"TN080","Will you sit out this match?","Ce joueur ne participera pas au combat.
Confirmer ?","El jugador no librará esta pelea. 
¿Seguro?","Will you sit out this match?","Ce joueur ne participera pas au combat.
Confirmer ?","Il giocatore non parteciperà all'incontro. 
OK?","Der Spieler setzt eine Runde aus. 
Sicher?","El jugador no librará esta pelea. 
¿Seguro?",""
"TN085","Quit Tournament?","Le tournoi va être interrompu.
Continuer ?","¿Suspender torneo?","Quit Tournament?","Le tournoi va être interrompu.
Continuer ?","Interrompere il torneo?","Turnier abbrechen?","¿Suspender torneo?",""
"TN090","The battle is about to begin. 
Are you ready?","Le combat va commencer.
Continuer ?","El combate está a punto de empezar.
¿Listo?","The battle is about to begin. 
Are you ready?","Le combat va commencer.
Continuer ?","La battaglia sta per iniziare. 
Sei pronto?","Der Kampf kann beginnen. 
Bist du bereit?","El combate está a punto de empezar.
¿Listo?",""
"TN100","Victory!","a gagné !","¡Victoria!","Victory!","a gagné !","vittoria!","Sieg!","¡Victoria!",""
"TN110","Retry?","Réessayer ?","¿Reintentar?","Retry?","Réessayer ?","Riprovare?","Neuer Versuch?","¿Reintentar?",""
"TN120","You got the trophy!","Tu as reçu le trophée !","¡Has conseguido el trofeo!","You got the trophy!","Tu as reçu le trophée !","Hai ottenuto il trofeo!","Du hast die Trophäe!","¡Has conseguido el trofeo!",""
"TN130","You were not able to get the trophy.","Tu n'as pas reçu le trophée !","No has conseguido el trofeo.","You were not able to get the trophy.","Tu n'as pas reçu le trophée !","Non sei riuscito a ottenere il trofeo.","Du hast es nicht geschafft, die Trophäe zu 
gewinnen!.","No has conseguido el trofeo.",""
"TN200","You have reached the maximum number 
of trophies. You will need to delete an 
old trophy you no longer want.  
Continue?","Comme tu as déjà le nombre maximal
de trophées, tu devras en supprimer un. 
Continuer ?","Has alcanzado el número máximo de 
trofeos. Tendrás que borrar algún trofeo 
antiguo que ya no te interese. 
¿Continuar?","You have reached the maximum number 
of trophies. You will need to delete an 
old trophy you no longer want.  
Continue?","Comme tu as déjà le nombre maximal
de trophées, tu devras en supprimer un. 
Continuer ?","Hai raggiunto il numero massimo di trofei. 
Dovrai cancellare uno dei vecchi trofei. 
Proseguire?","Du hast die maximale Zahl an Trophäen 
gewonnen. 
Du musst alte Trophäen löschen. 
Weiter?","Has alcanzado el número máximo de 
trofeos. Tendrás que borrar algún trofeo 
antiguo que ya no te interese. 
¿Continuar?",""
"TN210","2 controllers are necessary. 
Connect the controller to the 
Wii console.","2 manettes sont nécessaires pour jouer.
Connecte la manette à la Wii.","Se necesitan 2 mandos.
Conecta el mando a la consola.","2 controllers are necessary. 
Connect the controller to the Wii console.","2 manettes sont nécessaires pour jouer.
Connecte la manette à la Wii.","Sono necessari 2 controller. 
Collega il controller alla console Wii.","Es werden 2 Controller benötigt. 
Melde den Controller an der 
Wii-Konsole an.","Se necesitan 2 mandos.
Conecta el mando a la consola.",""
"TN211","3 controllers are necessary. 
Connect the controller to the 
Wii console.","3 manettes sont nécessaires pour jouer.
Connecte la manette à la Wii.","Se necesitan 3 mandos.
Conecta el mando a la consola.","3 controllers are necessary. 
Connect the controller to the Wii console.","3 manettes sont nécessaires pour jouer.
Connecte la manette à la Wii.","Sono necessari 3 controller. 
Collega il controller alla console Wii.","Es werden 3 Controller benötigt. 
Melde den Controller an der 
Wii-Konsole an.","Se necesitan 3 mandos.
Conecta el mando a la consola.",""
"TN212","4 controllers are necessary. 
Connect the controller to the 
Wii console.","4 manettes sont nécessaires pour jouer.
Connecte la manette à la Wii.","Se necesitan 4 mandos.
Conecta el mando a la consola.","4 controllers are necessary. 
Connect the controller to the Wii console.","4 manettes sont nécessaires pour jouer.
Connecte la manette à la Wii.","Sono necessari 4 controller. 
Collega il controller alla console Wii.","Es werden 4 Controller benötigt. 
Melde den Controller an der 
Wii-Konsole an.","Se necesitan 4 mandos.
Conecta el mando a la consola.",""
"WN000","SWAP OUT","REMPLACEMENT","SUSTITUCIÓN","SWAP OUT","REMPLACEMENT","SCAMBIO","AUSWECHSELN","SUSTITUCIÓN",""
"WN010","Select to change character.","Change de personnage.","Elige para cambiar de personaje.","Select to change character.","Change de personnage.","Cambia personaggio.","Auswählen, um den Charakter zu ändern.","Elige para cambiar de personaje.",""
"WN020","Shuffle","Aléatoire","Aleatorio","Shuffle","Aléatoire","Casuale","Zufall","Aleatorio",""
"WN021","Shuffle match participants around 
randomly.","Les participants sont choisis
au hasard.","Los participantes se eligen al azar.","Shuffle match participants around 
randomly.","Les participants sont choisis
au hasard.","Scelta partecipanti all'incontro casuale.","Die Spielteilnehmer werden zufällig 
gemischt.","Los participantes se eligen al azar.",""
"WN030","OK","OK","OK","OK","OK","OK","OK","OK",""
"WN031","Confirm settings.","Valide les paramètres.","Confirmar ajustes.","Confirm settings.","Valide les paramètres.","Conferma impostazioni.","Bestätigen der Einstellungen.","Confirmar ajustes.",""
"WN040","The battle will begin. 
Are you ready?","Le combat va commencer.
Continuer ?","El combate va a comenzar.
¿Estás listo?","The battle will begin. 
Are you ready?","Le combat va commencer.
Continuer ?","La battaglia sta per iniziare.. 
Sei pronto?","Der Kampf beginnt gleich. Bist du bereit?","El combate va a comenzar.
¿Estás listo?",""
"RC000","RULE SETTINGS","RÈGLES","AJUSTES DE REGLAS","RULE SETTINGS","RÈGLES","IMPOSTAZIONI REGOLE","REGEL-EINSTELLUNGEN","AJUSTES DE REGLAS",""
"RC010","OK","OK","OK","OK","OK","OK","OK","OK",""
"RC011","Confirm the above settings for the 
match.","Confirmer les règles de combat définies.","Confirma los ajustes anteriores
para la pelea.","Confirm the above settings for the 
match.","Confirmer les règles de combat définies.","Confermare le impostazioni per l'incontro.","Bestätige die Einstellungen für das Spiel.","Confirma los ajustes anteriores
para la pelea.",""
"RC100","Rule","Règles","Regla","Rule","Règles","Regole","Regel","Regla",""
"RC110","Last Survivor","Survivant","Superviviente","Last Survivor","Survivant","Sopravvissuto","Letzter Überlebender","Superviviente",""
"RC111","The last fighter standing is the winner.","Le dernier combattant en jeu remporte
la victoire.","Gana el último que quede en pie.","The last fighter standing is the winner.","Le dernier combattant en jeu remporte
la victoire.","Vince l'ultimo combattente rimasto.","Der letze aufrechte Kämpfer siegt.","Gana el último que quede en pie.",""
"RC120","Knockouts","KO","KOs","Knockouts","KO","K.O.","Knockouts","KOs",""
"RC121","The first to meet the set number of 
knockouts wins.","La victoire revient au premier joueur
à atteindre le nombre de KO indiqué.","Gana el primero en alcanzar cierto 
número de KOs.","The first to meet the set number of 
knockouts wins.","La victoire revient au premier joueur
à atteindre le nombre de KO indiqué.","Vince chi realizza il numero di K.O.
indicato.","Der erste Spieler mit den erforderlichen
Knockouts siegt.","Gana el primero en alcanzar cierto 
número de KOs.",""
"RC130","Timed","Chrono","Cronometrado","Timed","Chrono","A tempo","Zeitlimit","Cronometrado",""
"RC131","The fighter who defeats the most 
opponents by the time limit wins.","Élimine le plus d'adversaires avant
la fin du temps imparti.","Gana quien venza a más rivales en el 
límite de tiempo.","The fighter who defeats the most 
opponents by the time limit wins.","Élimine le plus d'adversaires avant
la fin du temps imparti.","Vince chi sconfigge il maggior numero 
di avversari entro il tempo limite.","Wer die meisten Gegner im Zeitlimit
schlägt, siegt.","Gana quien venza a más rivales en el 
límite de tiempo.",""
"RC020","Lives","Vies","Vidas","Lives","Vies","Vite","Leben","Vidas",""
"RC021","Defeat as many enemies before your 
lives run out.","Élimine un maximum d'ennemis jusqu'à
ce qu'il ne te reste plus de vies.","Vence a varios enemigos antes de 
quedarte sin vida.","Defeat as many enemies before your 
lives run out.","Élimine un maximum d'ennemis jusqu'à
ce qu'il ne te reste plus de vies.","Sconfiggi più nemici possibili prima di
esaurire le tue vite.","Besiege so viele Gegner wie möglich, 
bevor du keine Leben mehr hast.","Vence a varios enemigos antes de 
quedarte sin vida.",""
"RC030","Score","Score","Puntos","Score","Score","Punteggio","Punkte","Puntos",""
"RC031","Set the required points to win.","Marque le nombre de points indiqué.","Establece los puntos necesarios para 
ganar.","Set the required points to win.","Marque le nombre de points indiqué.","Ottieni il punteggio richiesto per
vincere.","Stelle die benötigte Siegpunktzahl ein.","Establece los puntos necesarios para 
ganar.",""
"RC040","Time Limit","Durée","Límite de tiempo","Time Limit","Durée","Tempo limite","Zeitlimit","Límite de tiempo",""
"RC041","Set the time limit for the match.","Règle la limite de temps du combat.","Establece qué objetos aparecerán en
las peleas.","Set the time limit for the match.","Règle la limite de temps du combat.","Imposta il tempo limite dell'incontro.","Stelle die Spielzeit ein.","Establece el límite de tiempo de la 
pelea.",""
"RC050","Health","Santé","Salud","Health","Santé","Salute","Gesundheit","Salud",""
"RC051","Set the health level for the character.","Ajuste les points de vie du personnage.","Establece la salud del personaje.","Set the health level for the character.","Ajuste les points de vie du personnage.","Imposta il livello di salute per
il personaggio.","Gesundheit für Charakter einstellen.","Establece la salud del personaje.",""
"RC070","ON","OUI","SI","ON","OUI","SÌ","EIN","SI",""
"RC080","OFF","NON","NO","OFF","NON","NO","AUS","NO",""
"RC090","Item","Objets","Objetos","Item","Objets","Oggetti","Objekt","Objetos",""
"RC431","The Fire Ninja Power will appear in 
the match.","Le pouvoir ninja "Feu"
apparaîtra au cours du combat.","Aparecerá el poder ninja del fuego
durante la pelea.","The Fire Ninja Power will appear in 
the match.","Le pouvoir ninja "Feu"
apparaîtra au cours du combat.","Nell'incontro sarà presente il 
potere ninja del fuoco.","Die Feuer-Ninja-Kraft erscheint 
im Spiel.","Aparecerá el poder ninja del fuego
durante la pelea.",""
"RC432","The Lightning Ninja Power will appear 
in the match.","Le pouvoir ninja "Foudre" 
apparaîtra au cours du combat.","Aparecerá el poder ninja del rayo
durante la pelea.","The Lightning Ninja Power will appear 
in the match.","Le pouvoir ninja "Foudre" 
apparaîtra au cours du combat.","Nell'incontro sarà presente il 
potere ninja del fulmine.","Die Blitz-Ninja-Kraft erscheint 
im Spiel.","Aparecerá el poder ninja del rayo
durante la pelea.",""
"RC433","The Tornado Ninja Power will appear in 
the match.","Le pouvoir ninja "Tornade" 
apparaîtra au cours du combat.","Aparecerá el poder ninja del tornado
durante la pelea.","The Tornado Ninja Power will appear in 
the match.","Le pouvoir ninja "Tornade" 
apparaîtra au cours du combat.","Nell'incontro sarà presente il 
potere ninja del tornado.","Die Tornado-Ninja-Kraft erscheint 
im Spiel.","Aparecerá el poder ninja del tornado
durante la pelea.",""
"RC434","The Kunai Ninja Power will appear in the 
match.","Le pouvoir ninja "Kunaï" 
